Species,Extinction_Year
chinensis,[2028]
aduncus,[2057]
gunnari,
gibberifrons,[2027]
rossii,[2023]
guntheri,[2027]
georgianus,[2024]
patagonicus,[1971]
maccormicki,
amsterdamensis,[2037]
cauta,[2033]
chrysostoma,[2036]
exulans,[2036]
melanophris,
halli,[2043]
antipodes,[2033]
adeliae,
papua,[2034]
gazella,
leonina,[2056]
harengus,[2021]
alpinus,
timidus,
unifilis,
limifrons,[2037]
minuta,[2024]
cinclus,
glareola,[2055]
ochropus,
tobianus,
saida,[2021]
spinoletta,[2028]
pratensis,
flavirostris,[2027]
hortulana,[2033]
columbarius,
rusticolus,[2025]
curvirostra,[2001]
apivorus,[2035]
flava,
caudatus,[2028]
carduelis,
borin,
viscivorus,
exilis,
mexicanus,[2067]
leconteii,
phoeniceus,[2048]
savannarum,[2049]
canagicus,
longicauda,
cedrorum,
hutchinsii,[1976]
swainsoni,[2033]
melanocorys,
ornatus,[2024]
tristis,
fuscescens,[2088]
mustelina,[2033]
urophasianus,
melodus,
vociferus,[2042]
grammacus,
hudsonius,[2035]
vespertina,[2031]
erythropthalmus,
brachyrhynchos,[2033]
cristata,[2047]
caerulescens,
kirtlandii,[2034]
petechia,[2047]
oryzivorus,
traillii,
alpestris,[2036]
cyanocephalus,[2050]
trichas,[2033]
pyrrhonota,
galbula,
spurius,[2043]
ludovicianus,
melodia,[2045]
icterotis,
atricapillus,
sandwichensis,[2035]
iliaca,[2066]
hudsonia,[2038]
pubescens,[2031]
plancus,[2040]
gramineus,[2034]
quiscula,
aurocapilla,
ruticilla,
pallida,[2055]
passerina,[2036]
magna,[2039]
neglecta,[2041]
rufum,[2042]
aedon,
migratorius,[2063]
phasianellus,
verticalis,
olivaceus,[2050]
gilvus,[2034]
xanthocephalus,[2052]
macroura,[2051]
leucophrys,[2038]
naevius,
bison,[1971]
latrans,
gapperi,
concolor,[2053]
sabrinus,[2033]
vancouverensis,
mephitis,[2034]
insignis,[2031]
virginianus,
maniculatus,[2059]
lotor,
franklinii,[2027]
tridecemlineatus,[2020]
striatus,
hudsonicus,
velox,
vulpes,
ascanius,
epops,[2031]
megarhynchos,[2026]
cetti,
juncidis,[2027]
melanocephala,
albicollis,
brachydactyla,[2034]
oriolus,[2098]
senator,[2029]
coccothraustes,
fraenata,[2027]
obsoletus,[2049]
sulphurea,
mississippiensis,
obscurus,[2028]
coccinea,[2025]
sanguinea,[2027]
lutea,[2024]
cardinalis,[2028]
mana,[2022]
coccineus,[2028]
spragueii,[2035]
colubris,[2071]
umbellus,[2058]
lineatus,[2040]
mccownii,[2022]
californica,[2060]
pinus,
cassinii,
purpureus,
aura,
guttatus,[2054]
ustulatus,[2039]
cooperi,
sordidulus,
caurinus,[2063]
coronata,[2057]
magnolia,
palmarum,[2034]
tigrina,[2060]
pileatus,[2090]
flaviventris,
carolinus,[2027]
bullockiorum,[2067]
erythrocephalus,[2085]
georgiana,[2044]
lincolnii,
polyglottos,
columbiana,
agilis,[2043]
tolmiei,
amoena,
cyanea,[2042]
enucleator,
ludoviciana,
gambeli,
subis,[2025]
calendula,[2027]
saya,[2079]
noveboracensis,
rufus,
currucoides,
pygmaea,[2032]
pusilla,
serripennis,
thalassina,[2051]
bewickii,
celata,[2058]
peregrina,[2044]
cyanoptera,
ruficapilla,
flavifrons,
philadelphicus,
macularius,
sponsa,
nelsoni,
lentiginosus,[2029]
alcyon,
galeata,[2049]
grisegena,
podiceps,
flavipes,[2032]
delawarensis,[2050]
saxatilis,[2026]
dorsalis,[2030]
paucispinis,[2030]
fasciatus,[2021]
keenii,[2025]
lucifugus,
monoceros,
guttata,
pretiosa,
geographica,[2033]
histrionicus,[2036]
rostrata,[2003]
radiata,
zibethicus,
mavortium,[2024]
macrodactylum,
aethiopicus,
hippoglossus,[2027]
lumpus,
moschatus,[2031]
pyrenaica,[2046]
insculpta,[2029]
serpentina,
blandingii,
erminea,[1983]
frenata,[1983]
vison,[1983]
dorsata,[2028]
salmoides,[2041]
hemiophrys,[2042]
dolomieu,[2027]
quadracus,[2025]
inconstans,[2005]
pungitius,[2042]
artedi,[2023]
cinereus,[2050]
brevicauda,
darwini,[2022]
yacare,
dichotomus,[2044]
bezoarticus,[2027]
aequinoctialis,[2030]
sodalis,[1971]
naumanni,[2028]
dimidiata,
cingulatum,[1995]
canicula,
galeus,[2033]
mustelus,[2037]
sphyraena,[1975]
dactylopterus,[2021]
surmuletus,[1977]
faber,[2026]
aper,
sanctaehelenae,[2033]
molva,[1971]
magellanicus,[2028]
chrysocome,
vipera,[1971]
pollachius,
bonariensis,
sula,
magnificens,
anaethetus,
lepturus,[2025]
leucogaster,[2030]
mungo,[2029]
albus,[2036]
migrans,[2032]
cucullatus,
nigerrimus,[2031]
kandti,
imberbis,
barbatus,[2034]
ferrumequinum,[2028]
hipposideros,
trivittata,[2030]
abdominalis,[2024]
otus,[2035]
aurea,
crepitans,[2042]
chrysoscelis,[2085]
taxus,
cinereoargenteus,[2079]
townsendii,[2016]
sylvanus,
leucoryx,
glacialoides,[2039]
capense,[2045]
nivea,
typus,[2024]
parvus,[2035]
indicus,[2028]
fulvus,[2008]
himalayensis,[2003]
calvus,
salamandra,
longipilis,[2070]
commersonii,
agassizii,[2032]
camelus,[2006]
samoensis,[2023]
tonganus,[2027]
abelii,[2027]
lyra,[2038]
tuberculatus,
grisea,[2009]
gravis,[2008]
medius,[2049]
parva,
anubis,
thomsonii,
holbrooki,
goodei,[2031]
chrysotus,[2042]
evergladei,[2040]
nigromaculatus,
cataractae,
atromaculatus,
atratulus,
cognatus,
fontinalis,
paludica,[2033]
codringtonii,
vittatus,[2043]
rendalli,
mortimeri,
gariepinus,
zambezensis,[1971]
mystus,[2005]
macrolepidotus,[1988]
altivelis,[1971]
aquaticus,[1998]
stappersii,
schoenobaenus,
tanganicae,[2043]
lherminieri,[2044]
pacifica,[2063]
dactylatra,[2044]
ariel,
bergii,[2065]
sumatrana,
fuscatus,
stolidus,[2042]
tenuirostris,[2040]
plumbeus,[2004]
traversi,[2032]
torquatus,
lutra,[2038]
spilonota,[1987]
limbatus,[2018]
lewini,[2024]
cuvier,[2009]
erinacea,[2023]
terraenovae,[2036]
retifer,[2040]
micrura,[2026]
parvula,
crocuta,
aureus,[2077]
megalotis,[2023]
rufifrons,[2020]
ibis,
falcinellus,
viduata,
gambensis,
melanotos,
pavonina,
tectus,
superciliosus,
pratincola,
cirrocephalus,
leucopterus,
ardesiaca,[2027]
brachyrhyncha,[2022]
dubius,[2022]
evermanni,[2025]
terrapin,[2040]
aegyptiaca,[2020]
crocodilus,[2028]
himantopus,[2029]
pecuarius,
mitchilli,[2023]
stellata,[2066]
gularis,
hybrida,
ruber,[2024]
helveticus,
marmoratus,[2046]
cultripes,
discorhynchus,[2034]
spinosus,[2032]
anguilloides,
rufa,[2044]
imberi,
intermedius,[2025]
longifilis,[2071]
nigricollis,[2006]
pallidus,
mariae,[2032]
microlophus,
macrochirus,[2109]
ocellaris,[2031]
griseus,[2021]
citrinellus,[2028]
ocellatus,[1986]
bimaculatum,[2005]
gulosus,
gloriosus,[2004]
feliceps,
erythrophthalma,
amia,
commersonnii,[2038]
humbloti,
dumerili,[2021]
tricuspidens,[2021]
lithognathus,
marginatus,
berda,
moquini,[2033]
dominicanus,[2029]
hartlaubii,[2024]
undulata,
dilectus,
minutoides,[2027]
coucha,
namaquensis,
unisulcatus,
irroratus,
campestris,
fascicularis,[2029]
lar,
seniculus,
palliata,[1973]
capucinus,[2040]
catta,[2058]
tucumana,
wallichii,
avunculus,[2025]
cyclotis,[2054]
spinosa,[2005]
malma,
nigripes,
mexicana,[2041]
novemcinctus,[2031]
narica,
longicaudis,[2028]
flavopectus,[2031]
infuscatus,[2024]
dryas,
albifacies,[2024]
brunneinucha,[2033]
frantzii,[2023]
viridipallens,[2029]
ignescens,[2006]
onca,[2026]
flavicollis,[2028]
glareolus,[1998]
trimucronatus,[1989]
fuscata,
martes,
agrestis,[2035]
arvalis,
oeconomus,[2000]
nivalis,[1998]
cuniculus,
araneus,
caecutiens,
daphaenodon,[2028]
isodon,
minutissimus,[2028]
roboratus,
tundrensis,
pardalis,[2034]
wiedii,
pecari,[2029]
tajacu,[2031]
punctata,[2086]
paca,[2034]
geoffroyi,
hoolock,
mykiss,
arcticus,[2027]
cylindraceum,[2031]
leporina,[2028]
longipennis,
polyxystra,[1976]
funereus,[2050]
erythrinus,
frugilegus,[2028]
chloropus,[2049]
conirostris,
svecica,
squatarola,[2043]
namaqua,[2005]
bislineata,[2044]
delphis,[2021]
truncatus,
irwini,
nahuelbutaensis,[1998]
areolatus,
meles,
lactarius,[2022]
chuss,[2024]
europaeus,[2026]
scrofa,[2001]
wyvilliana,
agrarius,
comizo,
microcephalus,
willkommii,
koechlini,[2025]
leali,[2038]
merriami,
pyrenaicus,
analis,
boliviana,[2032]
brachyotis,
sphinx,[2035]
ictericus,
sarayacuensis,[2025]
ordii,
spectabilis,[2027]
parviceps,[2038]
coqui,
longuemareus,
margaritifera,
comes,
coriaceus,[1997]
vaillantii,[2021]
mystaceus,
toftae,[2031]
vardonii,
alburnoides,
marchesianus,
perezi,
facetus,
nannotis,[2000]
acutirostris,[2001]
rheocola,[2002]
falciformis,
gibbosus,
californicus,
caesius,[2028]
richardsonii,
coypus,
gymnops,
furcata,[2047]
echinocephalus,
flavus,[2025]
