Species,Extinction_Year
vanzolinii,[2024]
atrata,[2022]
elata,[2017]
cylindricus,[2030]
fistulator,
camurus,[2031]
hartlaubi,[2031]
albocristatus,[2031]
banderanus,
perfulvus,
sumichrasti,
rubra,
preussi,[2024]
couesi,
arabica,[2022]
brucei,
barabensis,
lichtensteinii,[2021]
subgutturosa,
tetraspis,[2022]
peninsulae,
sibiricus,
betulina,
schisticolor,
squamatus,[2022]
cherrug,[2051]
riocourii,
rueppelli,
gallicus,
monogrammicus,[2054]
rufipennis,[2048]
rufinus,
auguralis,
alopex,[2063]
ardosiaceus,
chicquera,
civetta,[2014]
silvicultor,
servalina,[2014]
binotata,[2019]
callipygus,
platycephalus,
porcus,[2003]
emini,
swinderianus,
naso,[2010]
nigrifrons,
luederwaldti,[2024]
savii,[2035]
lucenai,
microtarsus,
leiarchus,[2032]
gracilicirrhus,[2021]
altiparanae,[2023]
carinata,[2027]
sargus,[2027]
melastoma,[2022]
puta,[2024]
stridens,[2024]
ilisha,[2030]
maraenoides,[2012]
acarne,
hepatus,
tajasica,[2000]
pectinifrons,[2014]
ucayalensis,[2011]
orinocensis,[2011]
filamentosum,[2014]
rousseauxii,[2011]
semitaeniatus,[2011]
scomberoides,[2023]
cylindriformis,[2011]
desmotes,[2011]
hypsauchen,[2011]
lippincottianus,[2014]
rubripinnis,[2017]
albiscopum,[2012]
hemioliopterus,[2011]
sturio,[2017]
punctifer,[2017]
quelen,[2011]
lima,[2020]
maniradii,
culter,[2011]
scriptum,
acutipinnis,
commersoni,[2021]
mimulus,[2017]
obesulus,
volans,[2023]
tapoatafa,
burbidgei,
cristicauda,[2023]
lagotis,[2021]
lesueur,
geoffroii,[2005]
bougainville,
hirsutus,[2023]
byrnei,
myoides,[2023]
oralis,[2019]
dwyeri,
picatus,
douglasi,
fieldi,[2019]
conditor,[2020]
carneipes,[2114]
gouldiae,
cincta,
anthopeplus,[2014]
poiciloptilus,[2021]
soui,
fimbriata,[2033]
ruficauda,
pelzelni,[2035]
picus,[2031]
leucophaius,
pallescens,[2032]
pareola,[2039]
genibarbis,
plumbea,
taciturnus,[2041]
latus,
saliens,[2007]
tessellatus,
corvinaeformis,[2006]
gomesii,
crossotus,
microlepidotus,
parvipinnis,[2030]
rastrifer,
isthmensis,[2006]
radiale,[2027]
randalli,[2031]
guachancho,[2032]
laevigatus,[2030]
greeleyi,
pachygaster,[2006]
spengleri,[2028]
pyrrhoptera,[2090]
januaria,[2008]
januarius,[1992]
hellerii,[2007]
crocro,[2000]
rubrioculus,[1999]
boleosoma,[2005]
meeki,[1992]
carri,[2008]
lineatum,[2003]
ursulus,
belzebul,
satanas,
kaapori,[2037]
collinsi,[2017]
exoletus,
multiventris,[2010]
chimango,[2010]
petolarius,[2010]
olfersii,[2010]
corallinus,[2024]
salgueiroi,
jararaca,
carvalhoi,
eurynome,[2023]
lalandi,[2013]
leachii,
rubricollis,
campanisona,[2023]
scansor,[2021]
falcularius,[2013]
dendrocolaptoides,[2013]
amaurotis,[2013]
contaminatus,[2021]
rufosuperciliata,[2013]
leucophrus,[2013]
castaneus,
nudicollis,[2013]
ventralis,[2013]
mesoleuca,[2021]
chivi,[2026]
poicilotis,[2013]
pitiayumi,[2013]
maxillosus,
pyrrhocoma,[2022]
diadematus,[2023]
melanonota,
nigrorufa,
cabanisi,[2023]
charrua,[2023]
luteoflammulatus,
prognathus,[2009]
melanotaenia,[2023]
modestus,[2011]
colocolo,[2022]
yagouaroundi,[2012]
thous,[2022]
tetradactyla,
sexcinctus,
ruschii,[2013]
serrensis,[2023]
labiosus,
tener,[2014]
subflavus,[2013]
lasiurus,[2023]
mastacalis,[2013]
agricolai,[2013]
domestica,
elianeae,
albopunctata,
sanborni,
fuscovarius,
scotti,
apereoides,[2021]
proops,[2022]
georgica,[2002]
picui,[2009]
stygius,
rixosa,[2022]
leucops,
seledon,
cyanocephala,[2028]
dicolorus,
capueira,[2022]
setaria,[2014]
inquisitor,[2014]
chrysopterus,[2014]
soricinus,
sublineatus,
pictipes,[2032]
paulensis,[2007]
scalops,[2007]
dasytrichus,[2007]
nigrispinus,
hypselonotus,[2024]
nassa,[2024]
heterolepis,[2020]
balaenops,[2018]
tetramerus,
anchovia,[2017]
carrikeri,[2024]
bonapartii,[2011]
thoracatus,[2015]
ambyiacus,[2011]
cupido,[2019]
platynemum,[2016]
labyrinthicus,[2023]
schizodon,[2014]
mento,[2011]
candiru,[2014]
coecutiens,[2016]
epakros,[2017]
guaporensis,[2011]
pleiozona,[2016]
johanna,[2011]
santosi,[2015]
knerii,[2014]
alburna,[2017]
gouldingi,[2011]
macrops,[2022]
electricus,[2012]
goeldii,[2012]
megasema,[2017]
morrisi,[2012]
incognitum,[2011]
pyrineusi,[2011]
juruensis,[2017]
taeniata,[2012]
uranoscopus,[2011]
lepidura,[2012]
sthenosthoma,[2016]
asterophysa,[2018]
hasemani,[2014]
howesi,[2011]
armatulus,[2011]
mucosus,[2012]
machadoi,[2012]
guianensis,[2011]
filigera,[2014]
essequibensis,
disjunctivus,[2011]
argenteofuscus,
phoxocephala,[2011]
myersii,
compressus,[2017]
eigenmanni,[2020]
hollandi,[2011]
bimaculata,[2011]
leucisca,[2021]
calhamazon,[2012]
schotti,[2011]
sima,[2012]
crenatum,
aulopygia,[2011]
chalceus,
quadrifilis,[2014]
taeniatus,[2011]
atronasus,[2011]
rondoni,[2011]
clarkae,[2011]
coracoideus,[2011]
roseni,[2013]
orestis,[2016]
hoplonites,[2016]
stuebelii,[2014]
cyclolepis,[2011]
electrogrammus,[2017]
rostratus,[2013]
dispar,[2012]
chaoi,[2017]
retzeri,[2017]
spinosissimus,[2018]
boliviense,[2012]
semicincta,[2012]
spiluropsis,[2012]
paradoxa,[2012]
nudirostris,[2011]
luna,[2011]
orbignyi,[2017]
eastwardi,[2014]
pappaterra,[2017]
odyssei,[2011]
hypostoma,[2011]
uranophthalmus,[2011]
callichthys,[2011]
strigata,[2017]
peruanus,[2012]
dispilurus,[2012]
stenopeltis,[2014]
acipenserinus,[2014]
abyss,[2014]
fourcroi,[2017]
dobula,[2011]
beni,[2016]
oligolepis,[2012]
grandisquamis,[2011]
hemipeltis,[2014]
paucirastrus,[2012]
castroi,[2012]
cirrhosa,[2017]
aiereba,[2011]
oliveirai,[2011]
inpa,[2011]
longibarbis,[2011]
flaviolimai,[2011]
thoracata,[2011]
myersi,[2011]
preto,[2016]
punctulatum,[2012]
regani,[2014]
collettii,[2011]
biserialis,[2016]
kunsi,[2015]
peruviana,
leucaspis,[2023]
fortis,[2021]
germaini,
arctoides,
beaudouini,
poliopterus,[2072]
augur,[2057]
argentina,[2024]
villarii,[2028]
argentinae,[2023]
paranaense,[2021]
vanderi,[2024]
francirochai,
mirini,[2023]
pintoi,[2031]
britskii,[2004]
lichtensteini,
delalandi,[2043]
orbitatus,
maracana,[2039]
sibilator,
coronatu,[2013]
caudifer,[2021]
rotundus,[2007]
soricina,[2027]
lilium,
bilobatum,[2007]
diminutus,[1999]
leucotis,
albilora,
lacerdae,[2015]
mangurus,[2012]
podicipinus,
diplolister,
diptycha,[2003]
gaboi,
heathi,[2003]
leiolepis,
divaricatus,
brasilianus,
ablephara,[2024]
erythrocercus,[2027]
scriptorcibatus,
psammonastes,
ancylodon,[2034]
capriscus,[2021]
boitonei,
hypostigma,
horkelii,
scabripinnis,
gilbert,
mormyrops,
luetkeni,[2004]
giton,
heterostomus,
copelandii,[2004]
fimbriatus,[2000]
villosum,[2000]
ecaudata,[2000]
silvicolum,[2000]
rectirostris,
serrana,
acuminatus,
nobilis,[2027]
elucens,[2008]
coroides,
punctatissimus,
oglinum,[2024]
marianae,[2013]
rugispinis,
anableps,[2021]
spinifer,
clupeoides,[2010]
quadriscutis,[2022]
tibicen,[2029]
bagre,[2010]
pectinatus,[2027]
joselimaianus,[2031]
funebris,[2010]
lacernulatus,[2004]
acoupa,
cavifrons,[2021]
incilis,[2010]
palometa,[2026]
herzbergii,[2021]
plagusia,
bonillai,[2024]
bipinnulata,[2028]
tiete,
kuhlii,[2010]
dypterygia,[2045]
auriculatus,[2048]
vomerinus,
quinqueradiata,[2033]
kitt,[2024]
pinetorum,[2027]
grigorjewi,
canis,[2026]
kitaharae,[2026]
yucatanensis,[2029]
caudacuta,
albonotatus,
pertinax,[2032]
arizonae,[2033]
phaeonotus,
whitneyi,
luteiventris,[2040]
carpalis,[2026]
chrysoparia,[2094]
dominicus,[2052]
pallidicinctus,[2026]
crassirostris,
